Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-09-23,06:09:49,3.3325,9.469,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,06:21:51,3.8174,10.753,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,07:53:34,3.1482,53.767,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,12:19:05,3.6987,90.075,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:16:21,2.919,70.356,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:22:25,2.155,50.214,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:53:00,5.7466,137.731,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:03:13,6.3389,153.987,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:12:58,2.0822,48.406,"plc_grid_breaker_opened, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-09-23,14:23:21,2.2897,52.667,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:53:43,5.6904,123.269,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,15:52:59,2.9068,72.768,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,16:29:41,2.1637,49.338,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:01:20,3.7853,91.439,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:33:46,4.0347,98.996,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:55:09,9.1253,231.279,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:22:31,2.9591,72.697,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:31:23,5.6483,132.74,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:47:50,2.6836,62.659,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,20:50:04,1.9442,27.076,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,00:36:12,2.0503,41.318,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,00:59:21,5.4706,113.445,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,01:06:27,2.6235,50.287,"plc_grid_breaker_opened, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-09-24,02:06:51,2.0947,40.698,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
